PostId,PostTypeId,AcceptedAnswerId,CreationDate,AnswerCount,ParentId,Title,CommentCount,ViewCount,Score,LastActivityDate,FavoriteCount,OwnerUserId,ClosedDate
1,1,b'3',b'2017-05-16T18:01:06.383',b'8',N/A,"b""What's the most efficient file format for the storage of DNA sequences?""",b'3',b'3605',b'46',b'2019-10-11T10:16:08.443',b'4',b'43',N/A
2,2,N/A,b'2017-05-16T18:08:41.067',N/A,1,N/A,b'1',N/A,b'4',b'2017-05-16T18:19:38.200',N/A,b'62',N/A
3,2,N/A,b'2017-05-16T18:09:58.197',N/A,1,N/A,b'0',N/A,b'40',b'2017-05-16T18:21:25.940',N/A,b'9',N/A
4,2,N/A,b'2017-05-16T18:11:54.510',N/A,1,N/A,b'4',N/A,b'24',b'2017-05-16T18:11:54.510',N/A,b'59',N/A
5,1,b'13',b'2017-05-16T18:14:20.903',b'2',N/A,b'Accuracy of the original human DNA datasets sequenced by Human Genome Project?',b'1',b'455',b'17',b'2017-12-28T11:43:48.257',b'1',b'43',N/A
9,1,N/A,b'2017-05-16T18:28:49.047',b'2',N/A,b'Mapping drug names to ATC codes',b'1',b'414',b'12',b'2017-05-16T19:36:42.037',b'3',b'59',N/A
11,2,N/A,b'2017-05-16T18:31:11.587',N/A,1,N/A,b'2',N/A,b'12',b'2017-05-16T18:31:11.587',N/A,b'44',N/A
12,1,N/A,b'2017-05-16T18:31:28.570',b'1',N/A,b'What are the optimal parameters for docking a large ligand using Hex?',b'0',b'101',b'11',b'2017-05-18T00:01:22.427',b'1',b'65',N/A
13,2,N/A,b'2017-05-16T18:37:07.157',N/A,5,N/A,b'0',N/A,b'18',b'2017-05-16T18:37:07.157',N/A,b'8',N/A
14,1,b'385',b'2017-05-16T18:37:27.773',b'4',N/A,"b'What is the difference between FASTA, FASTQ, and SAM file formats?'",b'0',b'29255',b'23',b'2018-11-21T10:08:14.447',b'13',b'43',N/A
15,1,N/A,b'2017-05-16T18:41:23.147',b'2',N/A,b'Difference between BWA-backtrack and BWA-MEM',b'3',b'1538',b'11',b'2018-04-10T07:43:04.913',b'1',b'88',N/A
16,2,N/A,b'2017-05-16T18:46:51.883',N/A,1,N/A,b'0',N/A,b'7',b'2017-05-16T18:46:51.883',N/A,b'47',N/A
17,2,N/A,b'2017-05-16T18:53:38.760',N/A,14,N/A,b'0',N/A,b'7',b'2017-05-16T18:53:38.760',N/A,b'44',N/A
18,2,N/A,b'2017-05-16T18:57:28.007',N/A,14,N/A,b'3',N/A,b'15',b'2017-05-16T18:57:28.007',N/A,b'27',N/A
19,1,b'293',b'2017-05-16T19:15:57.957',b'4',N/A,b'Are there any rolling hash functions that can hash a DNA sequence and its reverse complement to the same value?',b'5',b'1322',b'22',b'2017-07-26T16:10:55.117',b'7',b'96',N/A
20,2,N/A,b'2017-05-16T19:17:38.697',N/A,1,N/A,b'3',N/A,b'20',b'2017-05-16T19:17:38.697',N/A,b'37',N/A
21,1,b'64',b'2017-05-16T19:24:16.303',b'5',N/A,"b""Feature annotation: RefSeq vs Ensembl vs Gencode, what's the difference?""",b'0',b'6799',b'39',b'2019-08-07T10:19:05.123',b'12',b'82',N/A
22,2,N/A,b'2017-05-16T19:33:06.700',N/A,9,N/A,b'0',N/A,b'5',b'2017-05-16T19:33:06.700',N/A,b'112',N/A
23,2,N/A,b'2017-05-16T19:36:42.037',N/A,9,N/A,b'0',N/A,b'5',b'2017-05-16T19:36:42.037',N/A,b'109',N/A
