PostId,PostTypeId,AcceptedAnswerId,CreationDate,AnswerCount,ParentId,Title,CommentCount,ViewCount,Score,LastActivityDate,FavoriteCount,OwnerUserId,ClosedDate
10,1,b'22',b'2011-12-14T21:29:09.537',b'3',N/A,b'What is the reason behind choosing the reporter gene when experimenting on your gene of interest?',b'1',b'537',b'18',b'2013-12-16T05:21:04.960',b'1',b'19',N/A
22,2,N/A,b'2011-12-14T21:45:01.253',N/A,10,N/A,b'0',N/A,b'13',b'2011-12-14T21:45:01.253',N/A,b'48',N/A
23,1,b'26',b'2011-12-14T21:47:06.820',b'3',N/A,b'What is the optimal frame size for protein secondary structure prediction methods?',b'0',b'325',b'17',b'2012-12-04T17:56:25.030',b'1',b'44',N/A
26,2,N/A,b'2011-12-14T21:57:19.003',N/A,23,N/A,b'1',N/A,b'11',b'2012-12-04T17:56:25.030',N/A,b'28',N/A
29,1,b'41',b'2011-12-14T22:11:58.087',b'3',N/A,b'What are the limiting factors for gene length and number of exons?',b'3',b'216',b'9',b'2013-08-28T01:41:15.717',b'2',b'43',N/A
33,1,b'44',b'2011-12-14T22:26:55.820',b'3',N/A,b'Transmission of epigenetic regulation through surrogate mother',b'0',b'4032',b'15',b'2019-07-29T09:35:01.023',b'2',b'43',N/A
40,2,N/A,b'2011-12-14T22:40:35.267',N/A,23,N/A,b'1',N/A,b'3',b'2011-12-14T22:40:35.267',N/A,b'3632',N/A
41,2,N/A,b'2011-12-14T22:43:36.957',N/A,29,N/A,b'0',N/A,b'10',b'2011-12-14T23:47:03.850',N/A,N/A,N/A
43,2,N/A,b'2011-12-14T22:49:47.150',N/A,29,N/A,b'1',N/A,b'3',b'2011-12-14T22:49:47.150',N/A,N/A,N/A
44,2,N/A,b'2011-12-14T22:50:22.953',N/A,33,N/A,b'0',N/A,b'11',b'2012-01-11T14:50:14.360',N/A,b'34',N/A
45,2,N/A,b'2011-12-14T22:56:50.610',N/A,33,N/A,b'0',N/A,b'9',b'2011-12-14T22:56:50.610',N/A,N/A,N/A
49,2,N/A,b'2011-12-14T23:11:01.533',N/A,29,N/A,b'1',N/A,b'3',b'2011-12-15T19:22:27.180',N/A,b'3632',N/A
69,1,b'74',b'2011-12-15T07:19:11.870',b'2',N/A,b'How can rooted and unrooted (phylogenetic) trees be distinguished from one another',b'2',b'2456',b'8',b'2019-07-11T20:10:46.563',N/A,b'79',N/A
70,2,N/A,b'2011-12-15T07:47:11.347',N/A,33,N/A,b'2',N/A,b'3',b'2016-08-27T19:49:15.993',N/A,b'36',N/A
