PostId,PostTypeId,AcceptedAnswerId,CreationDate,AnswerCount,ParentId,Title,CommentCount,ViewCount,Score,LastActivityDate,FavoriteCount,OwnerUserId,ClosedDate
1487,1,b'1489',b'2010-08-10T06:55:21.597',b'3',N/A,b'Correcting experiment results',b'0',b'160',b'1',b'2010-09-16T10:02:46.633',N/A,b'213',N/A
1489,2,N/A,b'2010-08-10T07:02:57.383',N/A,1487,N/A,b'1',N/A,b'2',b'2010-08-10T15:31:41.193',N/A,b'196',N/A
1494,2,N/A,b'2010-08-10T08:50:49.683',N/A,1487,N/A,b'0',N/A,b'5',b'2010-08-10T08:50:49.683',N/A,b'8',N/A
2344,1,b'2346',b'2010-09-03T13:50:51.707',b'3',N/A,b'Best way to present a random forest in a publication?',b'3',b'59116',b'77',b'2018-01-11T10:22:37.090',b'57',b'1150',N/A
2346,2,N/A,b'2010-09-03T14:32:35.293',N/A,2344,N/A,b'2',N/A,b'48',b'2010-09-03T15:30:56.143',N/A,b'5',N/A
2362,2,N/A,b'2010-09-03T19:22:56.617',N/A,2344,N/A,b'6',N/A,b'18',b'2010-09-03T19:22:56.617',N/A,N/A,N/A
2714,2,N/A,b'2010-09-16T10:02:46.633',N/A,1487,N/A,b'0',N/A,b'0',b'2010-09-16T10:02:46.633',N/A,b'1307',N/A
3271,1,b'3284',b'2010-10-02T22:16:46.023',b'3',N/A,b'Clustering genes in a time course experiment',b'0',b'5458',b'8',b'2010-10-12T23:32:12.033',b'6',b'1307',N/A
3284,2,N/A,b'2010-10-03T16:49:21.400',N/A,3271,N/A,b'1',N/A,b'3',b'2010-10-03T16:49:21.400',N/A,N/A,N/A
3285,2,N/A,b'2010-10-03T20:34:43.010',N/A,3271,N/A,b'3',N/A,b'5',b'2010-10-03T22:59:40.033',N/A,b'930',N/A
3294,1,N/A,b'2010-10-04T08:33:05.990',b'11',N/A,b'Resources for learning Markov chain and hidden Markov models',b'3',b'12740',b'57',b'2017-04-06T11:56:40.800',b'57',b'1495',N/A
3295,2,N/A,b'2010-10-04T09:04:29.530',N/A,3271,N/A,b'2',N/A,b'3',b'2010-10-04T21:13:21.687',N/A,b'8',N/A
3298,2,N/A,b'2010-10-04T10:16:23.660',N/A,3294,N/A,b'0',N/A,b'19',b'2012-10-11T01:28:00.303',N/A,b'930',N/A
3380,1,N/A,b'2010-10-07T10:50:24.480',b'1',N/A,b'Analysis of variables of varying numbers',b'0',b'74',b'2',b'2010-10-07T11:27:06.060',N/A,b'1516',N/A
3382,2,N/A,b'2010-10-07T11:27:06.060',N/A,3380,N/A,b'2',N/A,b'1',b'2010-10-07T11:27:06.060',N/A,N/A,N/A
3393,2,N/A,b'2010-10-07T17:59:07.497',N/A,3294,N/A,b'0',N/A,b'12',b'2010-10-07T17:59:07.497',N/A,b'1499',N/A
3419,1,b'3673',b'2010-10-08T17:52:20.097',b'5',N/A,b'Patient distance metrics',b'0',b'432',b'7',b'2017-11-16T13:21:24.017',b'1',b'900',N/A
3421,2,N/A,b'2010-10-08T20:05:14.780',N/A,3419,N/A,b'0',N/A,b'3',b'2010-10-08T20:05:14.780',N/A,b'1329',N/A
3437,2,N/A,b'2010-10-09T11:59:06.653',N/A,3419,N/A,b'0',N/A,b'3',b'2010-10-09T11:59:06.653',N/A,N/A,N/A
3456,2,N/A,b'2010-10-10T06:12:37.237',N/A,3419,N/A,b'0',N/A,b'3',b'2010-10-10T06:12:37.237',N/A,b'1540',N/A
3489,1,b'3508',b'2010-10-11T17:21:37.217',b'3',N/A,b'Calculating False Acceptance Rate for a Gaussian Distribution of scores',b'0',b'9094',b'5',b'2010-10-20T21:12:08.117',b'2',b'1224',N/A
3491,2,N/A,b'2010-10-11T17:33:16.783',N/A,3489,N/A,b'7',N/A,b'5',b'2010-10-11T17:33:16.783',N/A,b'1499',N/A
3502,2,N/A,b'2010-10-12T03:00:29.283',N/A,3489,N/A,b'0',N/A,b'5',b'2010-10-12T03:00:29.283',N/A,b'1112',N/A
3508,2,N/A,b'2010-10-12T08:19:36.063',N/A,3489,N/A,b'3',N/A,b'12',b'2010-10-16T09:07:13.943',N/A,b'930',N/A
3635,2,N/A,b'2010-10-15T15:50:12.507',N/A,3419,N/A,b'0',N/A,b'4',b'2017-11-16T13:21:24.017',N/A,b'196',N/A
3673,2,N/A,b'2010-10-17T12:06:38.520',N/A,3419,N/A,b'2',N/A,b'7',b'2010-10-17T19:06:12.167',N/A,b'930',N/A
4394,1,N/A,b'2010-11-10T17:37:00.063',b'9',N/A,b'What is the difference between statistics and biostatistics?',b'5',b'34397',b'17',b'2019-06-24T14:10:12.680',b'3',b'71',N/A
4397,2,N/A,b'2010-11-10T18:26:30.110',N/A,4394,N/A,b'0',N/A,b'13',b'2010-11-10T18:48:10.007',N/A,b'930',N/A
4398,2,N/A,b'2010-11-10T18:33:59.103',N/A,4394,N/A,b'0',N/A,b'7',b'2010-11-10T18:33:59.103',N/A,b'439',N/A
4406,2,N/A,b'2010-11-10T20:05:47.163',N/A,4394,N/A,b'4',N/A,b'4',b'2010-11-10T20:05:47.163',N/A,b'449',N/A
4694,1,b'4705',b'2010-11-18T21:49:01.410',b'1',N/A,b'How to do weighted pair hierarchical clustering in R?',b'0',b'1335',b'2',b'2010-11-19T07:43:58.327',b'2',b'1307',N/A
4705,2,N/A,b'2010-11-19T07:43:58.327',N/A,4694,N/A,b'1',N/A,b'2',b'2010-11-19T07:43:58.327',N/A,b'930',N/A
4851,1,b'4853',b'2010-11-23T23:02:12.753',b'2',N/A,b'Efficient Empirical CDF Computation / Storage',b'2',b'291',b'4',b'2010-11-23T23:29:44.537',N/A,b'2111',N/A
4852,2,N/A,b'2010-11-23T23:28:58.350',N/A,4851,N/A,b'0',N/A,b'2',b'2010-11-23T23:28:58.350',N/A,b'8',N/A
